name,language,cast,genre,director,release_date,duration
Ala Vaikunthapurramuloo,Telugu,Allu Arjun|Sushanth|Pooja Hegde,Action|Drama,Trivikram Srinivas,12-Jan-20,3.43
World Famous Lover,Telugu,Vijay Devarakonda|Rashi Khanna| Izabelle leite| Aishwarya Rajesh| Catherine Tresa,Romance|Drama,Kranthi Madhav,14-Feb-20,2.58
Krishna and his Leela,Telugu,Sidhu Jonnalagadda|Shalini Vadnikatti| Shraddha Shrinath| seerat kapoor,Comedy| Romance,Ravikanth Perepu,25-Jun-20,3.34
Khuda Hafiz,Hindi,Vidyut Jammwal|Shivaleeka Oberoi| Aahana Kumra,Thriller| Action,Faruk Kabir,28-Aug-20,3.7
Dil Bechara,Hindi,Sushant Singh Rajput| Saif Ali Khan|Sanjana Sanghi,Romance|Drama,Mukesh Chhabra,7-Aug-20,1.1
Sadak 2,Hindi,Aditya Roy Kapoor|Sanjay Dutt|Alia Bhatt|Pooja Bhatt,Drama| Thriller,Mahesh Bhatt,10-Jul-20,3.26
Bloodshot,English,Vin Diesel|Eiza Gonz�lez,Action| Adventure,�David S. F. Wilson,21-Feb-20,1.4
The Babysitter: Killer Queen,English,Judah Lewis|Emily Alyn Lind| Bella Thorne| Jenna Ortega| Amanda Cerny,Horror| Comedy,McG,10-Sep-20,1.33
Chemical Hearts,English,Austin Abrams| Adhir Kalyan|Lili Reinhart| Sarah Jones,Romance|Drama,Richard Tanne,21-Aug-20,2.29
Ponmagal Vandhal,Tamil,Suriya|Jyothika,Thriller| Drama,J. J. Fredrick,May-20,1.36
Dharala Prabhu,Tamil,Harish Kalyan|Tanya Hope,Drama| Romance,Krishna Marimuthu,13-Mar-20,2.42
Darbar,Tamil,Rajinikanth|Nivetha Thomas|Nayanthara,Action| Drama,A.R. Murugadoss,9-Jan-20,1.16
Trance,Malayalam,Fahadh Faasil|Nazriya Nazim,Drama| Action,Anwar Rasheed,20-Feb-20,2.43
Ayyappanum Koshiyum,Malayalam,Prithviraj Sukumaran|Anna Rajan,Thriller| Drama,Sachy,7-Feb-20,2.13
Varane Avashyamund,Malayalam,Dulquer Salmaan| Suresh Gopi|Kalyani Priyadarshan| Shobana,Drama| Comedy,Anoop Sathyam,7-Feb-20,3.2
French Biriyani,Kannada,Danish Sait|Sindhu Srinivasamurthy,Drama| Comedy,Pannaga Bharana,24-Jul-20,2
Nam Kathe Nim Jothe,Kannada,Narada Muni|Anjali K E,Drama| Romance,Deepak B.C.,13-Mar-20,1.13
Mayabazar 2016,Kannada,Raj B. Shetty| Vasishta N. Simha|Sudharani| Chitra Rao,Drama| Comedy,Radhakrishna Reddy,28-Feb-20,1.14
Sufna,Punjabi,Ammy Virk| Jagjeet Sandhu|Tania| Tanya Sharma,Drama| Romance,Jagdeep Sidhu,14-Feb-20,3.32
Kitty Party,Punjabi,Nav Bajwa|Kainaat Arora,Drama| Comedy,Nav Bajwa,13-Dec-19,1.37
Gidarh Singhi,Punjabi,Jordan Sandhu|Saanvi Dhiman| Rubina Bajwa,Comedy,Vipin Parashar,29-Nov-19,1.24
